TDPF_solver,load_ratio,air_temp,wind_speed,max_conductor_temp,exper_id,solver_status,load,node_load_shedding,node_mis_match_0001_num,node_mis_match_001_num,node_mis_match_01_num,0.7_flow_num,0.7_temp_num,tem_con_mean,tem_con_max,run_time,gen_cost,0.8_flow_num,0.8_temp_num,0.9_flow_num,0.9_temp_num
td_iter_2,0.9,45,0.1,90,heatflow_analysis,1,0.76518,7.089528949572303,1,1,1,0,10,63.89441147810075,90.00000327825546,0.40255093574523926,7722.491054223637,0,6,0,2
base_acsc,0.9,45,0.1,90,heatflow_analysis,1,0.76518,7.290843048673715,5,5,0,0,10,63.36245950402283,90.1116994023323,2.0329232215881348,7631.57239641985,0,5,0,1
base_dcsc,0.9,45,0.1,90,heatflow_analysis,1,0.76518,6.3328403769714825,4,4,0,0,10,63.500245322541495,91.95951730012894,0.8545238971710205,7684.288854487432,0,5,0,1
base_fixsc,0.9,45,0.1,90,heatflow_analysis,1,0.76518,4.176730797921534,1,1,1,0,10,63.93616598553774,93.09321910142899,0.1780412197113037,7814.049206897092,0,6,0,2
base,1.0,25,0.61,90,heatflow_analysis,1,0.8502000000000001,1.856792724787801e-05,0,0,0,1,1,37.03761684094987,74.75137338042259,0.17718195915222168,8209.021922335061,1,1,1,0
td_quad,1.0,25,0.61,90,heatflow_analysis,1,0.8502000000000001,-7.028746494081104e-06,0,0,0,1,1,37.07130200615743,74.73057433962822,0.21289801597595215,8278.367224863752,1,1,1,0
td_derate_iter_2,1.0,25,0.61,90,heatflow_analysis,1,0.8502000000000001,-7.275395972621507e-06,0,0,0,1,1,37.071374513027145,74.73053261637688,0.38185596466064453,8278.862311205292,1,1,1,0
td_derate_iter_10,1.0,25,0.61,90,heatflow_analysis,1,0.8502000000000001,-7.275397663443934e-06,0,0,0,1,1,37.07137502184728,74.73053261637688,0.8369090557098389,8278.861782593449,1,1,1,0
base_derate,1.0,25,0.61,90,heatflow_analysis,1,0.8502000000000001,-7.4026369454027385e-06,0,0,0,1,1,37.03741483935496,74.73038658499718,0.17850804328918457,8208.514928340575,1,1,1,0
td_iter_2,1.0,25,0.61,90,heatflow_analysis,1,0.8502000000000001,-7.275395972621507e-06,0,0,0,1,1,37.071374513027145,74.73053261637688,0.3995499610900879,8278.862311205292,1,1,1,0
base_acsc,1.0,25,0.61,90,heatflow_analysis,1,0.8502000000000001,16.38677325942727,8,5,1,0,0,35.67653212968896,50.960201770067215,2.054593086242676,7636.0545792245475,0,0,0,0
base_dcsc,1.0,25,0.61,90,heatflow_analysis,1,0.8502000000000001,15.544033086122477,11,9,0,0,0,35.75395547398707,52.56142541766167,0.8354909420013428,7689.612204679189,0,0,0,0
base_fixsc,1.0,25,0.61,90,heatflow_analysis,1,0.8502000000000001,12.851439711506995,2,2,2,1,0,36.19855665942518,52.94410064816475,0.19048714637756348,7880.22267741297,0,0,0,0
base,1.0,25,0.1,90,heatflow_analysis,1,0.8502000000000001,1.856792724787801e-05,0,0,0,1,4,46.84799093662239,106.5862350165844,0.174149751663208,8209.021922335061,1,1,1,1
td_quad,1.0,25,0.1,90,heatflow_analysis,1,0.8502000000000001,5.60431331474389,1,1,1,1,3,46.35198085409839,87.11636140942574,0.21041631698608398,8350.805374334584,1,1,0,1
td_derate_iter_2,1.0,25,0.1,90,heatflow_analysis,1,0.8502000000000001,4.122204148216892,1,1,1,1,3,46.431335679641585,90.00000134110451,0.39340710639953613,8428.924767618753,1,1,0,1
td_derate_iter_10,1.0,25,0.1,90,heatflow_analysis,1,0.8502000000000001,4.120898638311343,1,1,1,1,3,46.43131558124612,90.00000134110451,1.1631240844726562,8428.942225307574,1,1,0,1
base_derate,1.0,25,0.1,90,heatflow_analysis,1,0.8502000000000001,-7.4026369454027385e-06,0,0,0,1,4,46.84775662494869,106.55600652098656,0.1817460060119629,8208.514928340575,1,1,1,1
td_iter_2,1.0,25,0.1,90,heatflow_analysis,1,0.8502000000000001,4.122204148216892,1,1,1,1,3,46.431335679641585,90.00000134110451,0.47130513191223145,8428.924767618753,1,1,0,1
base_acsc,1.0,25,0.1,90,heatflow_analysis,1,0.8502000000000001,16.38677325942727,8,5,1,0,1,44.633589412381006,70.84149792790413,2.2060563564300537,7636.0545792245475,0,0,0,0
base_dcsc,1.0,25,0.1,90,heatflow_analysis,1,0.8502000000000001,15.544033086122477,11,9,0,0,1,44.75220658066796,73.3527161180973,0.847404956817627,7689.612204679189,0,1,0,0
base_fixsc,1.0,25,0.1,90,heatflow_analysis,1,0.8502000000000001,12.851439711506995,2,2,2,1,1,45.54745149685115,73.95022436976433,0.1849379539489746,7880.22267741297,0,1,0,0
base,1.0,45,0.61,90,heatflow_analysis,1,0.8502000000000001,1.856792724787801e-05,0,0,0,1,5,56.738090900386254,95.20064502954483,0.17973113059997559,8209.021922335061,1,1,1,1
td_quad,1.0,45,0.61,90,heatflow_analysis,1,0.8502000000000001,-7.40270687178889e-06,0,0,0,1,5,56.69636478511298,91.87149077653885,0.22121810913085938,8532.915652366653,1,1,1,1
td_derate_iter_2,1.0,45,0.61,90,heatflow_analysis,1,0.8502000000000001,0.6908528135626869,1,1,0,1,5,56.64379331396847,90.00000327825546,0.3911466598510742,8543.539876598385,1,1,1,1
td_derate_iter_10,1.0,45,0.61,90,heatflow_analysis,1,0.8502000000000001,0.6905343126184523,1,1,0,1,5,56.64379241262994,90.00000327825546,1.2528371810913086,8543.544806941543,1,1,1,1
base_derate,1.0,45,0.61,90,heatflow_analysis,1,0.8502000000000001,-3.947101559997057e-06,0,0,0,1,5,56.73691780828848,95.17963618040085,0.16583704948425293,8208.625452881693,1,1,1,1
td_iter_2,1.0,45,0.61,90,heatflow_analysis,1,0.8502000000000001,-7.398695875728673e-06,0,0,0,1,5,56.63699541876956,90.00004023313522,0.4209480285644531,8645.193011103815,1,1,1,1
base_acsc,1.0,45,0.61,90,heatflow_analysis,1,0.8502000000000001,16.38677325942727,8,5,1,0,1,55.34582887480899,71.06144040822983,2.15238094329834,7636.0545792245475,0,0,0,0
base_dcsc,1.0,45,0.61,90,heatflow_analysis,1,0.8502000000000001,15.544033086122477,11,9,0,0,2,55.425056531661895,72.69815355539322,0.8395068645477295,7689.612204679189,0,1,0,0
base_fixsc,1.0,45,0.61,90,heatflow_analysis,1,0.8502000000000001,12.851439711506995,2,2,2,1,4,55.88324296038325,73.08904379606247,0.1863260269165039,7880.22267741297,0,1,0,0
base,1.0,45,0.1,90,heatflow_analysis,1,0.8502000000000001,1.856792724787801e-05,0,0,0,1,12,65.57559756970987,125.48629611730576,0.17255806922912598,8209.021922335061,1,6,1,4
td_quad,1.0,45,0.1,90,heatflow_analysis,1,0.8502000000000001,15.306012371886677,2,2,2,0,12,64.1132722467911,90.44545739889145,0.21674203872680664,7797.101949802054,0,6,0,1
td_derate_iter_2,1.0,45,0.1,90,heatflow_analysis,1,0.8502000000000001,16.477569851382825,2,2,2,0,12,64.00903695240254,90.00000327825546,0.3882880210876465,7637.930872117026,0,6,0,1
td_derate_iter_10,1.0,45,0.1,90,heatflow_analysis,1,0.8502000000000001,16.475881070929955,2,2,2,0,12,64.00911446751618,90.00000327825546,1.041856050491333,7637.968864397814,0,6,0,1
base_derate,1.0,45,0.1,90,heatflow_analysis,1,0.8502000000000001,-3.947101559997057e-06,0,0,0,1,12,65.57376965516951,125.4566952586174,0.16717529296875,8208.625452881693,1,6,1,4
td_iter_2,1.0,45,0.1,90,heatflow_analysis,1,0.8502000000000001,15.588366152360031,2,2,2,0,12,64.06083913111105,90.00000327825546,0.3922262191772461,7772.311590855323,0,6,0,1
base_acsc,1.0,45,0.1,90,heatflow_analysis,1,0.8502000000000001,16.38677325942727,8,5,1,0,10,63.31904518168147,89.98459309339523,2.0324411392211914,7636.0545792245475,0,5,0,1
base_dcsc,1.0,45,0.1,90,heatflow_analysis,1,0.8502000000000001,15.544033086122477,11,9,0,0,10,63.448580597958916,92.4992248415947,0.842789888381958,7689.612204679189,0,5,0,2
base_fixsc,1.0,45,0.1,90,heatflow_analysis,1,0.8502000000000001,12.851439711506995,2,2,2,1,12,64.25740664325109,93.09708088636398,0.18456506729125977,7880.22267741297,0,6,0,2
