Bus,busmap
GB52-400,GB1 56
GB53-400,GB1 287
GB54-400,GB1 139
GB55-275,GB1 94
GB56-400,GB1 255
GB57-400,GB1 267
GB58-275,GB1 167
GB59-275,GB1 254
GB60-275,GB1 296
GB61-275,GB1 201
GB63-400,GB1 88
GB65-400,GB1 204
GB66-275,GB1 197
GB68-275,GB1 280
GB69-400,GB1 193
GB7-275,GB1 155
GB71-275,GB1 236
GB72-400,GB1 218
GB73-400,GB1 290
GB78-400,GB1 221
GB79-400,GB1 302
GB81-400,GB1 69
GB83-400,GB1 234
GB9-275,GB1 102
relation/10377509-400,GB1 203
relation/10695345-400,GB1 147
relation/10925187-275,GB1 175
relation/11051275-400,GB1 82
relation/11543333-400,GB1 86
relation/12543034-275,GB1 274
relation/13110367-400,GB1 35
relation/13110368-400,GB1 140
relation/13110369-400,GB1 77
relation/13186702-275,GB1 281
relation/14921826-400,GB1 29
relation/7650368-400,GB1 14
relation/7872518-400,GB1 186
relation/7879831-400,GB1 57
relation/7880111-400,GB1 192
relation/7881280-400,GB1 118
relation/7886014-400,GB1 42
relation/7894457-400,GB1 7
relation/7894483-400,GB1 60
relation/7894974-400,GB1 276
relation/7894975-400,GB1 143
relation/7896785-275,GB1 113
relation/8087295-275,GB1 111
relation/9409219-400,GB1 146
relation/9572254-400,GB1 59
relation/9598269-400,GB1 62
way/100009331-400,GB1 65
way/100077745-400,GB1 232
way/101077623-400,GB1 301
way/101312018-275,GB1 212
way/101365758-275,GB1 189
way/102198808-400,GB1 49
way/102549055-400,GB1 150
way/103150854-400,GB1 305
way/103829261-400,GB1 300
way/103915328-400,GB1 106
way/109730296-400,GB1 294
way/1097582201-400,GB1 292
way/111528318-275,GB1 38
way/1120475588-400,GB1 124
way/1153252242-275,GB1 87
way/115530033-400,GB1 284
way/116539370-275,GB1 298
way/118821349-400,GB1 195
way/1190395478-400,GB1 83
way/119315534-275,GB1 210
way/119315549-275,GB1 108
way/119616836-400,GB1 177
way/121820285-275,GB1 262
way/123037622-275,GB1 136
way/123866712-275,GB1 310
way/1252341626-275,GB1 142
way/1262971878-275,GB1 19
way/1263095953-400,GB1 199
way/127184694-400,GB1 116
way/1274396508-400,GB1 149
way/1275300370-400,GB1 12
way/1297690788-275,GB1 228
way/133323988-400,GB1 123
way/135693940-275,GB1 126
way/142397822-400,GB1 36
way/142841192-400,GB1 28
way/142845284-400,GB1 34
way/143105488-275,GB1 41
way/143110887-275,GB1 309
way/143221984-275,GB1 44
way/143383456-400,GB1 151
way/143398451-400,GB1 238
way/143783006-400,GB1 148
way/143905069-400,GB1 222
way/147475796-275,GB1 295
way/148382435-275,GB1 73
way/153884024-275,GB1 164
way/159038999-400,GB1 159
way/159736514-400,GB1 247
way/160580052-400,GB1 229
way/160616357-275,GB1 277
way/163036722-400,GB1 206
way/164380199-275,GB1 299
way/16582436-400,GB1 261
way/166703758-275,GB1 219
way/166703759-275,GB1 183
way/166703766-400,GB1 2
way/167621580-400,GB1 257
way/183904046-275,GB1 243
way/184584639-275,GB1 286
way/190511290-400,GB1 138
way/193617444-400,GB1 266
way/200511209-400,GB1 278
way/200635683-275,GB1 152
way/20851038-400,GB1 10
way/209404646-400,GB1 259
way/211549457-275,GB1 252
way/212779654-400,GB1 253
way/222205173-275,GB1 61
way/227495569-275,GB1 211
way/227589012-400,GB1 209
way/22975329-400,GB1 283
way/23059230-400,GB1 179
way/23059268-275,GB1 304
way/23132983-275,GB1 58
way/23164132-400,GB1 213
way/23164256-400,GB1 96
way/23228362-400,GB1 137
way/23228569-275,GB1 227
way/23229136-275,GB1 180
way/232319495-275,GB1 21
way/23232738-400,GB1 46
way/23234477-275,GB1 225
way/23248656-275,GB1 105
way/23281217-400,GB1 132
way/23299362-400,GB1 71
way/23299657-400,GB1 117
way/23390317-275,GB1 100
way/239248206-400,GB1 25
way/23988786-400,GB1 47
way/241491759-275,GB1 39
way/24165071-400,GB1 93
way/25422135-400,GB1 18
way/25492769-275,GB1 67
way/25629803-400,GB1 174
way/25784732-275,GB1 182
way/25935453-400,GB1 9
way/260300448-275,GB1 141
way/262523325-400,GB1 128
way/262532045-400,GB1 216
way/263863442-400,GB1 55
way/264102298-400,GB1 202
way/264104518-400,GB1 168
way/264371625-275,GB1 198
way/26678829-400,GB1 52
way/26938722-400,GB1 68
way/27163121-400,GB1 166
way/27332350-275,GB1 15
way/280317944-400,GB1 1
way/28194931-275,GB1 16
way/284874050-400,GB1 81
way/28691559-400,GB1 54
way/29111844-400,GB1 114
way/292371992-400,GB1 191
way/292471784-400,GB1 27
way/295657862-275,GB1 231
way/297840585-400,GB1 170
way/306451400-275,GB1 205
way/308653819-275,GB1 264
way/30930911-275,GB1 223
way/31015820-400,GB1 0
way/310502642-400,GB1 237
way/311840838-275,GB1 272
way/313495269-400,GB1 207
way/314338790-400,GB1 271
way/315213320-275,GB1 217
way/31545125-400,GB1 169
way/32227788-400,GB1 32
way/32796576-400,GB1 20
way/33917128-400,GB1 17
way/34205588-400,GB1 107
way/34656007-400,GB1 13
way/367005272-275,GB1 176
way/371757485-400,GB1 249
way/375626500-400,GB1 289
way/41710456-400,GB1 135
way/422486984-400,GB1 173
way/42800878-400,GB1 80
way/43303585-400,GB1 245
way/43472283-400,GB1 122
way/447301159-400,GB1 120
way/45087479-275,GB1 115
way/4715504-400,GB1 226
way/472164401-400,GB1 51
way/4746208-400,GB1 89
way/494951597-400,GB1 244
way/49499923-400,GB1 194
way/495512689-400,GB1 163
way/495512692-400,GB1 74
way/495624575-275,GB1 240
way/49922626-400,GB1 53
way/533670766-400,GB1 269
way/55284068-275,GB1 119
way/553490952-400,GB1 33
way/567187951-275,GB1 233
way/59736773-275,GB1 208
way/624256368-275,GB1 185
way/630939126-275,GB1 172
way/635829123-400,GB1 31
way/636630368-400,GB1 98
way/636630371-400,GB1 273
way/65482882-400,GB1 103
way/676646876-400,GB1 160
way/677845115-400,GB1 112
way/68515955-400,GB1 181
way/689626274-400,GB1 127
way/701436399-400,GB1 285
way/71118225-400,GB1 158
way/730870685-275,GB1 279
way/76468460-275,GB1 200
way/77065229-400,GB1 75
way/775577829-400,GB1 215
way/778717371-275,GB1 91
way/785730495-400,GB1 134
way/796648851-275,GB1 297
way/81098733-275,GB1 72
way/814351697-400,GB1 23
way/820229174-275,GB1 90
way/820237569-400,GB1 171
way/842685465-275,GB1 239
way/84803250-275,GB1 4
way/86071326-400,GB1 5
way/87204522-400,GB1 242
way/87207123-400,GB1 45
way/87464485-400,GB1 157
way/87953830-400,GB1 48
way/88287125-400,GB1 50
way/88389243-400,GB1 97
way/884174267-400,GB1 187
way/89038614-400,GB1 79
way/89453364-400,GB1 131
way/89573357-400,GB1 109
way/89573358-400,GB1 263
way/89836009-275,GB1 40
way/90099036-400,GB1 22
way/90125443-400,GB1 92
way/90534270-400,GB1 63
way/90539508-400,GB1 95
way/90547674-400,GB1 37
way/90547685-275,GB1 3
way/91003253-400,GB1 130
way/91010022-400,GB1 220
way/91010711-400,GB1 121
way/91056548-400,GB1 85
way/91082448-400,GB1 30
way/91955171-400,GB1 104
way/92260633-275,GB1 43
way/92331023-275,GB1 156
way/92340133-400,GB1 66
way/92419253-400,GB1 125
way/92458761-400,GB1 165
way/92460913-400,GB1 76
way/925179651-400,GB1 64
way/92529432-400,GB1 270
way/92737152-275,GB1 144
way/93299730-400,GB1 162
way/93878867-275,GB1 178
way/94004582-400,GB1 196
way/94530230-400,GB1 260
way/94543520-275,GB1 251
way/95279334-400,GB1 6
way/95338682-400,GB1 78
way/95374266-275,GB1 303
way/95749833-400,GB1 154
way/95895489-400,GB1 70
way/96067520-275,GB1 99
way/96107758-400,GB1 145
way/96630594-275,GB1 8
way/96905262-400,GB1 235
way/97256377-400,GB1 161
way/97551523-400,GB1 230
way/98899051-400,GB1 110
way/137050527-275,GB4 7
way/142185552-275,GB4 3
way/148266260-275,GB4 6
way/166764802-275,GB4 1
way/227767019-275,GB4 0
way/227767022-275,GB4 5
way/230134599-275,GB4 2
way/339008021-275,GB4 4
IT1-220,IT0 134
IT10-220,IT0 123
IT100-220,IT0 1
IT101-220,IT0 286
IT102-380,IT0 72
IT103-220,IT0 169
IT104-220,IT0 322
IT105-220,IT0 322
IT106-220,IT0 64
IT107-220,IT0 350
IT108-220,IT0 350
IT109-220,IT0 294
IT11-220,IT0 263
IT110-220,IT0 305
IT111-220,IT0 305
IT112-220,IT0 140
IT113-220,IT0 345
IT117-220,IT0 63
IT118-380,IT0 63
IT119-380,IT0 15
IT12-220,IT0 76
IT120-380,IT0 230
IT121-380,IT0 230
IT122-380,IT0 77
IT123-380,IT0 145
IT124-380,IT0 228
IT125-380,IT0 277
IT127-380,IT0 111
IT128-220,IT0 359
IT130-220,IT0 190
IT133-220,IT0 149
IT134-380,IT0 150
IT135-220,IT0 73
IT138-380,IT0 101
IT139-380,IT0 101
IT140-380,IT0 191
IT142-380,IT0 152
IT143-380,IT0 281
IT15-220,IT0 241
IT16-220,IT0 327
IT18-220,IT0 161
IT19-380,IT0 328
IT2-220,IT0 336
IT21-380,IT0 328
IT23-380,IT0 332
IT24-380,IT0 332
IT25-380,IT0 126
IT26-380,IT0 126
IT27-220,IT0 209
IT28-380,IT0 126
IT3-380,IT0 62
IT30-220,IT0 302
IT31-220,IT0 47
IT33-220,IT0 227
IT34-380,IT0 315
IT38-220,IT0 260
IT4-380,IT0 335
IT42-220,IT0 121
IT43-380,IT0 128
IT44-380,IT0 224
IT45-380,IT0 224
IT47-220,IT0 231
IT48-220,IT0 45
IT49-220,IT0 51
IT5-220,IT0 314
IT51-380,IT0 320
IT52-220,IT0 26
IT53-220,IT0 265
IT54-380,IT0 320
IT55-380,IT0 306
IT56-380,IT0 262
IT57-380,IT0 262
IT59-220,IT0 172
IT6-220,IT0 229
IT60-400,IT0 222
IT61-400,IT0 222
IT62-380,IT0 316
IT63-220,IT0 239
IT64-220,IT0 97
IT65-220,IT0 3
IT66-220,IT0 331
IT68-220,IT0 251
IT69-220,IT0 240
IT7-220,IT0 303
IT70-220,IT0 184
IT72-220,IT0 344
IT73-380,IT0 279
IT74-220,IT0 178
IT75-220,IT0 133
IT76-220,IT0 27
IT77-380,IT0 177
IT78-380,IT0 177
IT79-380,IT0 333
IT8-220,IT0 356
IT82-220,IT0 264
IT84-220,IT0 245
IT85-220,IT0 254
IT86-220,IT0 12
IT87-220,IT0 352
IT88-220,IT0 280
IT89-220,IT0 283
IT9-220,IT0 123
IT91-220,IT0 299
IT92-380,IT0 250
IT93-380,IT0 115
IT94-380,IT0 157
IT95-220,IT0 284
IT96-220,IT0 79
IT97-220,IT0 357
IT98-220,IT0 170
IT99-220,IT0 198
relation/1377432-220,IT0 302
relation/13844905-380,IT0 18
relation/17467354-380,IT0 42
relation/6277789-380,IT0 182
relation/8840420-220,IT0 249
way/100253768-380,IT0 31
way/100407576-380,IT0 278
way/100952845-380,IT0 30
way/102185356-220,IT0 173
way/102185362-220,IT0 329
way/102287716-380,IT0 291
way/102675884-220,IT0 116
way/103007030-220,IT0 93
way/103127417-220,IT0 187
way/103264820-220,IT0 162
way/103306951-380,IT0 158
way/103381531-380,IT0 34
way/103386958-380,IT0 5
way/103418587-220,IT0 167
way/103549584-220,IT0 117
way/103653565-220,IT0 273
way/103653567-225,IT0 20
way/103653591-380,IT0 339
way/103725268-220,IT0 318
way/103974946-220,IT0 353
way/104114052-220,IT0 59
way/104239286-220,IT0 48
way/104239342-220,IT0 215
way/104321356-220,IT0 122
way/104359058-380,IT0 271
way/105062415-220,IT0 337
way/105141350-220,IT0 334
way/105141365-400,IT0 155
way/105153431-380,IT0 43
way/105462289-220,IT0 246
way/105757794-380,IT0 129
way/105757795-220,IT0 204
way/105801489-220,IT0 92
way/105827045-220,IT0 297
way/107204719-220,IT0 285
way/107681459-380,IT0 71
way/107683818-380,IT0 19
way/108020416-380,IT0 288
way/109588422-380,IT0 136
way/109756016-380,IT0 147
way/1097982502-380,IT0 338
way/1098087457-380,IT0 150
way/1098527891-220,IT0 181
way/109993642-380,IT0 23
way/109997676-380,IT0 296
way/1100665914-380,IT0 55
way/110138220-380,IT0 56
way/110310021-380,IT0 197
way/110330925-380,IT0 8
way/1103579629-380,IT0 258
way/110660048-380,IT0 301
way/111020792-220,IT0 211
way/1117128898-380,IT0 248
way/1134655722-220,IT0 340
way/114659171-220,IT0 110
way/114661587-380,IT0 176
way/114931087-380,IT0 58
way/1155109902-220,IT0 37
way/1158716725-380,IT0 100
way/116517585-380,IT0 213
way/116518388-380,IT0 81
way/116697005-380,IT0 298
way/116797658-380,IT0 112
way/1203262444-220,IT0 313
way/120356593-380,IT0 96
way/1204275778-220,IT0 287
way/1205235724-220,IT0 269
way/124220303-220,IT0 190
way/126203383-380,IT0 95
way/131291789-380,IT0 166
way/1317893096-220,IT0 127
way/132455976-220,IT0 310
way/132637884-220,IT0 348
way/132638645-220,IT0 2
way/132643428-220,IT0 234
way/132645607-220,IT0 110
way/132701023-220,IT0 326
way/132701980-380,IT0 212
way/132702940-220,IT0 235
way/132725149-220,IT0 304
way/132726160-220,IT0 242
way/133601335-380,IT0 120
way/135270825-220,IT0 105
way/136457747-220,IT0 9
way/137317951-220,IT0 321
way/139442467-380,IT0 91
way/139975773-380,IT0 253
way/143585004-380,IT0 22
way/146791061-380,IT0 14
way/147466201-220,IT0 75
way/148969091-380,IT0 309
way/151070909-220,IT0 168
way/151335166-220,IT0 206
way/153548074-220,IT0 238
way/155158689-380,IT0 54
way/155590373-380,IT0 301
way/155791516-380,IT0 220
way/155976582-220,IT0 219
way/156001963-220,IT0 275
way/156001981-220,IT0 275
way/157912118-380,IT0 191
way/158599954-220,IT0 28
way/158652469-220,IT0 354
way/159821869-220,IT0 29
way/161867064-220,IT0 192
way/162066058-220,IT0 311
way/162828577-380,IT0 89
way/162960205-380,IT0 107
way/163058980-220,IT0 99
way/163958919-220,IT0 324
way/163958920-220,IT0 346
way/166196787-220,IT0 270
way/172302572-380,IT0 179
way/172705586-220,IT0 90
way/181125039-380,IT0 355
way/189612607-380,IT0 274
way/199676823-380,IT0 175
way/202271565-380,IT0 225
way/202272734-220,IT0 142
way/202711181-220,IT0 214
way/207383904-220,IT0 317
way/208398923-380,IT0 119
way/209982720-380,IT0 154
way/211180338-380,IT0 135
way/214294769-220,IT0 84
way/236661269-380,IT0 210
way/257351439-380,IT0 70
way/288149641-220,IT0 269
way/296141722-220,IT0 98
way/303965869-380,IT0 32
way/309371152-220,IT0 325
way/309371153-220,IT0 106
way/321724202-380,IT0 153
way/338453112-380,IT0 114
way/338760116-380,IT0 87
way/338790588-380,IT0 60
way/338792752-380,IT0 21
way/338795626-380,IT0 195
way/339104227-380,IT0 163
way/339706878-380,IT0 46
way/339706879-380,IT0 208
way/339706880-380,IT0 25
way/34157795-380,IT0 347
way/350356755-220,IT0 17
way/354923815-220,IT0 293
way/35680992-220,IT0 266
way/363469921-380,IT0 52
way/36873258-380,IT0 102
way/375907988-220,IT0 201
way/376351180-220,IT0 41
way/376502663-220,IT0 317
way/376502734-220,IT0 351
way/376642649-220,IT0 259
way/376952592-220,IT0 348
way/376952616-220,IT0 295
way/377444648-220,IT0 235
way/377444657-220,IT0 342
way/377588184-220,IT0 308
way/377830944-220,IT0 254
way/377832777-220,IT0 276
way/392068532-380,IT0 223
way/39255054-380,IT0 250
way/40634284-380,IT0 183
way/412967424-220,IT0 69
way/41360305-380,IT0 68
way/416679116-220,IT0 125
way/416679117-220,IT0 319
way/418565263-380,IT0 312
way/41892273-400,IT0 218
way/419423700-220,IT0 186
way/419423704-380,IT0 36
way/419423705-380,IT0 268
way/420698910-220,IT0 50
way/42206116-380,IT0 104
way/42862642-220,IT0 13
way/435429368-220,IT0 340
way/435433908-220,IT0 103
way/435433909-220,IT0 249
way/448777455-220,IT0 293
way/449694943-380,IT0 108
way/491424937-400,IT0 7
way/495354824-380,IT0 39
way/504195617-220,IT0 343
way/50589203-220,IT0 10
way/507064051-220,IT0 164
way/53635045-220,IT0 33
way/56984450-220,IT0 0
way/57380344-220,IT0 141
way/57384507-380,IT0 38
way/57403755-220,IT0 165
way/57736541-220,IT0 159
way/57736553-220,IT0 44
way/58440884-380,IT0 236
way/58516664-220,IT0 325
way/58931857-380,IT0 4
way/58992998-380,IT0 146
way/59026315-380,IT0 82
way/590522266-380,IT0 307
way/591027058-380,IT0 258
way/59153311-380,IT0 252
way/59219335-380,IT0 148
way/59366523-380,IT0 6
way/59462263-380,IT0 196
way/59556712-380,IT0 131
way/59604857-220,IT0 257
way/59629638-220,IT0 289
way/60235685-380,IT0 86
way/60616350-380,IT0 53
way/60888331-380,IT0 74
way/60913666-380,IT0 180
way/60919237-380,IT0 282
way/61157826-380,IT0 144
way/61484190-220,IT0 143
way/61626687-380,IT0 113
way/61650514-220,IT0 16
way/61712456-380,IT0 130
way/62326314-380,IT0 185
way/64942789-380,IT0 200
way/66872608-220,IT0 65
way/67461115-220,IT0 171
way/68299044-380,IT0 300
way/72466334-380,IT0 207
way/72475426-380,IT0 202
way/72570378-380,IT0 85
way/72570474-380,IT0 109
way/72581705-380,IT0 193
way/74359510-220,IT0 49
way/74677138-380,IT0 217
way/74943205-380,IT0 57
way/75378894-380,IT0 138
way/75602396-380,IT0 24
way/75947556-380,IT0 199
way/76705565-380,IT0 124
way/76709660-380,IT0 137
way/772234863-380,IT0 174
way/78066534-380,IT0 35
way/79879290-220,IT0 259
way/80442466-220,IT0 205
way/80517630-380,IT0 272
way/81929591-380,IT0 194
way/81931074-380,IT0 118
way/81938081-380,IT0 40
way/82078641-380,IT0 232
way/82083756-380,IT0 151
way/82084013-380,IT0 243
way/82084019-380,IT0 83
way/82651599-220,IT0 61
way/82759380-380,IT0 349
way/82762493-380,IT0 139
way/82767145-380,IT0 323
way/82793962-220,IT0 156
way/83058212-380,IT0 244
way/83805453-380,IT0 78
way/83872215-380,IT0 132
way/84277460-220,IT0 94
way/84301904-380,IT0 292
way/84696559-380,IT0 226
way/84963374-220,IT0 247
way/85196861-380,IT0 290
way/85297730-220,IT0 255
way/88361192-220,IT0 280
way/891280888-380,IT0 67
way/93038661-380,IT0 80
way/93315059-380,IT0 203
way/93850768-220,IT0 267
way/93860115-380,IT0 358
way/944660251-220,IT0 330
way/96190189-380,IT0 216
way/96658563-220,IT0 237
way/96727258-220,IT0 341
way/98421779-380,IT0 256
way/98427149-380,IT0 261
way/98427407-220,IT0 11
way/98638424-220,IT0 189
way/98787157-220,IT0 221
way/988370787-220,IT0 267
way/988654143-380,IT0 188
way/98901130-380,IT0 233
way/98902899-380,IT0 88
way/99694910-380,IT0 66
way/99826025-380,IT0 160
IT131-380,IT2 11
IT132-380,IT2 12
way/118987056-380,IT2 6
way/136762727-380,IT2 3
way/141046481-220,IT2 7
way/144005861-220,IT2 8
way/144005863-380,IT2 9
way/144006711-220,IT2 0
way/303915533-380,IT2 1
way/375892272-220,IT2 5
way/409439916-380,IT2 2
way/432871051-220,IT2 10
way/432871052-220,IT2 4
way/1042974725-220,LU0 6
way/33814243-220,LU0 5
way/33814365-220,LU0 1
way/387620061-225,LU0 7
way/460847807-220,LU0 4
way/63089603-220,LU0 0
way/89176956-220,LU0 3
way/91823933-220,LU0 2
NL6-220,NL0 30
NL7-220,NL0 32
way/1099434374-220,NL0 14
way/1218950123-380,NL0 9
way/146901292-380,NL0 18
way/157902099-380,NL0 5
way/162176187-380,NL0 10
way/162179284-380,NL0 8
way/165242802-380,NL0 6
way/167695568-380,NL0 26
way/168037483-220,NL0 11
way/22984334-380,NL0 17
way/23096966-380,NL0 16
way/23135563-380,NL0 27
way/308181656-380,NL0 25
way/477949333-380,NL0 3
way/480742730-380,NL0 13
way/577158336-380,NL0 0
way/606842829-380,NL0 24
way/693745438-380,NL0 33
way/723528920-380,NL0 12
way/72888152-380,NL0 21
way/83423799-380,NL0 7
way/87177559-380,NL0 1
way/87207800-220,NL0 4
way/87354306-380,NL0 15
way/87358157-220,NL0 20
way/87448656-220,NL0 29
way/87792499-380,NL0 2
way/87794279-380,NL0 19
way/920127890-380,NL0 22
way/934114405-380,NL0 23
way/942640207-380,NL0 28
way/96382845-380,NL0 31
ES188-220,PT0 49
PT10-220,PT0 57
PT11-220,PT0 57
PT12-220,PT0 52
PT13-400,PT0 52
PT14-400,PT0 52
PT15-220,PT0 38
PT16-220,PT0 67
PT17-220,PT0 59
PT21-400,PT0 58
PT22-220,PT0 18
PT24-220,PT0 64
PT26-400,PT0 10
PT3-400,PT0 46
PT32-220,PT0 7
PT34-400,PT0 69
PT36-400,PT0 54
PT37-400,PT0 71
PT38-220,PT0 62
PT39-220,PT0 77
PT4-220,PT0 30
PT40-220,PT0 77
PT41-220,PT0 76
PT42-220,PT0 70
PT43-220,PT0 72
PT44-400,PT0 1
PT47-400,PT0 9
PT5-220,PT0 63
PT7-400,PT0 12
PT8-220,PT0 53
PT9-400,PT0 55
relation/17294958-400,PT0 30
way/1037899855-400,PT0 73
way/1041283619-400,PT0 36
way/1054310285-400,PT0 75
way/116944631-220,PT0 43
way/1202440398-220,PT0 80
way/124722161-400,PT0 66
way/126366408-220,PT0 55
way/127205502-220,PT0 37
way/127205653-220,PT0 2
way/129055610-400,PT0 41
way/131715746-400,PT0 34
way/132865612-400,PT0 46
way/135457230-400,PT0 22
way/137667702-220,PT0 47
way/142182853-400,PT0 74
way/142658477-220,PT0 38
way/144374439-400,PT0 25
way/144374442-220,PT0 0
way/144377301-220,PT0 53
way/144385734-400,PT0 49
way/144385735-220,PT0 61
way/144386243-220,PT0 15
way/144396412-400,PT0 68
way/144396420-220,PT0 28
way/144398555-220,PT0 56
way/144400130-220,PT0 50
way/144432478-220,PT0 45
way/144432485-220,PT0 32
way/144432489-220,PT0 5
way/144439469-400,PT0 58
way/144439472-400,PT0 31
way/144545398-220,PT0 40
way/144554435-400,PT0 78
way/144564903-400,PT0 23
way/144573746-400,PT0 39
way/144584580-220,PT0 19
way/144584585-220,PT0 13
way/144588414-220,PT0 4
way/144596347-220,PT0 27
way/144599061-400,PT0 20
way/144601080-400,PT0 8
way/144622215-400,PT0 21
way/144635505-400,PT0 11
way/144639174-400,PT0 17
way/144654759-220,PT0 70
way/144762180-220,PT0 14
way/151061884-400,PT0 6
way/151111218-220,PT0 79
way/151162379-220,PT0 44
way/151162388-400,PT0 60
way/151168335-400,PT0 42
way/201459319-400,PT0 3
way/24636044-400,PT0 54
way/24636062-220,PT0 76
way/402947133-220,PT0 14
way/690953979-220,PT0 16
way/694016335-400,PT0 33
way/751560789-400,PT0 51
way/753364578-400,PT0 35
way/767739005-400,PT0 26
way/813954335-400,PT0 29
way/964625644-400,PT0 65
way/987944916-400,PT0 24
way/988035260-400,PT0 48
